ID,TLC,EOM,LEAF,Gaia,RAdeg,DEdeg,plx,Gmag,bp-rp,Weight,teff_gspphot,radius_gspphot,teff_gspspec,logg_gspspec,teff_esphs,logg_esphs,tic,tmag,noise
71367,22,-1,,6254552382574243584,233.1528,-19.6706,13.659,5.46,0.21,0.01,nan,nan,7697.0,4.150000095367432,nan,nan,73852746,5.3875,0.0004659809974656539
71370,22,-1,,6238470513186055936,234.1465,-23.996,7.827,7.91,0.6,0.0,6517.376953125,2.4112000465393066,nan,nan,nan,nan,147692175,7.59266,0.00047418215678116305
71629,22,-1,,6251168188861721472,231.211,-23.5093,8.69,8.15,0.57,0.02,6677.09912109375,2.400099992752075,nan,nan,nan,nan,428924165,7.85374,0.0004767465438366507
71635,22,-1,,4326157146644280064,250.2627,-15.3573,10.137,8.28,0.64,0.02,6478.1279296875,1.5262000560760498,6583.0,4.309999942779541,nan,nan,398578465,7.9396,0.0004777951241342101
71720,22,-1,,5551248292393667200,99.6534,-48.2173,6.777,7.47,0.11,0.0,9993.5126953125,1.8212000131607056,nan,nan,8773.1640625,4.117437362670898,255756039,7.4401,0.00047294594862144475
71750,22,-1,,5987421394064245760,234.2323,-46.1514,7.531,7.96,0.36,0.02,7351.3623046875,1.80239999294281,nan,nan,nan,nan,290112560,7.7736,0.00047702787394012224
71829,22,-1,,6211094559143445888,229.4837,-30.4783,8.095,8.8,0.59,0.15,6646.298828125,1.4142999649047852,nan,nan,nan,nan,272341056,8.49577,0.0004864481263799812
72009,22,-1,,4664985604795813632,70.5878,-63.2155,11.196,7.92,0.56,0.01,6618.7646484375,1.5074000358581543,6497.0,4.070000171661377,nan,nan,55451918,7.6273,0.0004744691581768179
72098,22,-1,,6141995823908711424,195.9025,-38.9685,10.251,7.8,0.48,0.01,6926.6650390625,1.5983999967575073,nan,nan,nan,nan,102219915,7.5447,0.0004737578479069404
72100,22,-1,,5925532800797072128,261.0628,-50.3861,5.222,10.06,0.7,0.02,6551.76904296875,1.3990999460220337,nan,nan,nan,nan,214361331,9.6877,0.0005444213897759123
72130,22,-1,,5344474032612656000,177.1123,-54.1552,6.128,9.32,0.66,0.04,6465.14599609375,1.4605000019073486,6344.0,4.260000228881836,nan,nan,268550619,8.9698,0.0005049785116983005
72171,22,-1,,4050241953642766848,270.3535,-29.8742,7.94,9.49,0.77,0.03,6117.74365234375,1.4414000511169434,6516.0,4.429999828338623,nan,nan,195874552,9.084,0.0005219251507415096
72277,22,-1,,4349685870846264064,239.922,-7.3021,6.894,6.6,0.16,0.01,9763.7548828125,2.8884999752044678,nan,nan,nan,nan,49510195,6.54673,0.00046831894647706215
72292,22,-1,,5320085249787566848,123.1362,-54.1463,11.806,6.88,0.47,0.04,6911.50927734375,2.108099937438965,nan,nan,nan,nan,342173536,6.632,0.0004687366206870138
72348,22,-1,,6131993635356365440,187.3332,-46.4165,5.454,9.22,0.56,0.02,6603.0791015625,1.6827000379562378,nan,nan,nan,nan,72443553,8.9302,0.0004977518744564879
72422,22,-1,,5552070344838579712,99.4824,-47.765,6.402,9.81,0.64,0.01,6285.29296875,1.218500018119812,6348.0,4.28000020980835,nan,nan,156932204,9.4731,0.0005178850112746614
